propriedade,titulo_origem,titulo_alvo,rank,similaridade,status
http://guara.ueg.br/ontologias/v1/objetos#quem,Folia de São João,Benetida Gomes Cipriano,26,0.4982,ok
http://guara.ueg.br/ontologias/v1/objetos#quem,Cavalhadas em Pilar de Goiás,Luana Nunes Martins,41,0.3835,ok
http://guara.ueg.br/ontologias/v1/objetos#quem,Folias de Reis de Itaguari,Magno Florentino Dutra,27,0.5638,ok
http://guara.ueg.br/ontologias/v1/objetos#onde,Romaria do Divino Pai Eterno em Trindade (GO,Trindade-GO,12,0.704,ok
http://guara.ueg.br/ontologias/v1/objetos#onde,Folia de São João,Lagolândia,20,0.5721,ok
http://guara.ueg.br/ontologias/v1/objetos#onde,Benetida Gomes Cipriano,Lagolândia,1,0.605,ok
http://guara.ueg.br/ontologias/v1/objetos#onde,Congo vilaboense,Cidade de Goiás (Vila Boa),42,0.3219,ok
http://guara.ueg.br/ontologias/v1/objetos#onde,Folia do Divino Pai Eterno de Petrolina,Petrolina de Goiás,37,0.3507,ok
http://guara.ueg.br/ontologias/v1/objetos#onde,FOLIA DO DIVINO ESPÍRITO SANTO DA REGIÃO DO ALAGADO,Novo Gama-GO,37,0.3608,ok
http://guara.ueg.br/ontologias/v1/objetos#onde,FOLIA DO DIVINO ESPÍRITO SANTO DA REGIÃO DO ALAGADO,Santo Antônio do Descoberto-GO,27,0.4409,ok
http://guara.ueg.br/ontologias/v1/objetos#onde,Folia de Reis - Comunidade Marcelânia,Comunidade Marcelânia,20,0.5667,ok
http://guara.ueg.br/ontologias/v1/objetos#onde,Festa de Nossa Senhora Aparecida de Areias - GO ,"povoado de areias, goiás",21,0.6237,ok
http://guara.ueg.br/ontologias/v1/objetos#onde,Festa Estadual da Guariroba de Aurilândia,Aurilândia,1,0.8257,ok
http://guara.ueg.br/ontologias/v1/objetos#onde,Folia e Festa do Divino Espírito Santo de Pirenópolis,Pirenópolis,20,0.621,ok
http://guara.ueg.br/ontologias/v1/objetos#onde,Cavalhadas em Pilar de Goiás,Pilar de Goiás,18,0.6021,ok
http://guara.ueg.br/ontologias/v1/objetos#quando,FOLIA DO DIVINO ESPÍRITO SANTO DA REGIÃO DO ALAGADO,Maio,51,0.1753,ok
http://guara.ueg.br/ontologias/v1/objetos#quando,Cavalhadas em Pilar de Goiás,Setembro,46,0.293,ok
