objeto_origem,titulo_origem,objeto_recomendado,titulo_recomendado,similaridade
https://guara.ueg.br/fuseki/festas_populares#6e7f03f8-2818-4098-90ba-9db01c70d7fc,Cidade de Goiás,https://guara.ueg.br/fuseki/festas_populares#e9bc2e1e-c24c-4fee-ad94-65d826509658,Cidade de Goiás (Vila Boa),0.8505
https://guara.ueg.br/fuseki/festas_populares#6e7f03f8-2818-4098-90ba-9db01c70d7fc,Cidade de Goiás,https://guara.ueg.br/fuseki/festas_populares#f034f465-1cce-4a39-81d7-416b4625d66d,Trindade,0.7504
https://guara.ueg.br/fuseki/festas_populares#6e7f03f8-2818-4098-90ba-9db01c70d7fc,Cidade de Goiás,https://guara.ueg.br/fuseki/festas_populares#d9d2d805-c16c-4b6f-9218-8363c40778c7,Cavalcante,0.7428
https://guara.ueg.br/fuseki/festas_populares#e4d29c31-c6ad-4ed5-ae27-aeee6680969c,Mossâmedes,https://guara.ueg.br/fuseki/festas_populares#d9d2d805-c16c-4b6f-9218-8363c40778c7,Cavalcante,0.7786
https://guara.ueg.br/fuseki/festas_populares#e4d29c31-c6ad-4ed5-ae27-aeee6680969c,Mossâmedes,https://guara.ueg.br/fuseki/festas_populares#25dbd5e5-974b-44ad-be66-c59401960e22,Monte Alegre de Goiás,0.7708
https://guara.ueg.br/fuseki/festas_populares#e4d29c31-c6ad-4ed5-ae27-aeee6680969c,Mossâmedes,https://guara.ueg.br/fuseki/festas_populares#9fc99cd1-ef40-4b66-b656-69b0fcbc17fe,Lagolândia,0.749
https://guara.ueg.br/fuseki/festas_populares#d9d2d805-c16c-4b6f-9218-8363c40778c7,Cavalcante,https://guara.ueg.br/fuseki/festas_populares#9fc99cd1-ef40-4b66-b656-69b0fcbc17fe,Lagolândia,0.8099
https://guara.ueg.br/fuseki/festas_populares#d9d2d805-c16c-4b6f-9218-8363c40778c7,Cavalcante,https://guara.ueg.br/fuseki/festas_populares#e9bc2e1e-c24c-4fee-ad94-65d826509658,Cidade de Goiás (Vila Boa),0.791
https://guara.ueg.br/fuseki/festas_populares#d9d2d805-c16c-4b6f-9218-8363c40778c7,Cavalcante,https://guara.ueg.br/fuseki/festas_populares#e4d29c31-c6ad-4ed5-ae27-aeee6680969c,Mossâmedes,0.7786
https://guara.ueg.br/fuseki/festas_populares#25dbd5e5-974b-44ad-be66-c59401960e22,Monte Alegre de Goiás,https://guara.ueg.br/fuseki/festas_populares#e9bc2e1e-c24c-4fee-ad94-65d826509658,Cidade de Goiás (Vila Boa),0.8272
https://guara.ueg.br/fuseki/festas_populares#25dbd5e5-974b-44ad-be66-c59401960e22,Monte Alegre de Goiás,https://guara.ueg.br/fuseki/festas_populares#9fc99cd1-ef40-4b66-b656-69b0fcbc17fe,Lagolândia,0.7756
https://guara.ueg.br/fuseki/festas_populares#25dbd5e5-974b-44ad-be66-c59401960e22,Monte Alegre de Goiás,https://guara.ueg.br/fuseki/festas_populares#e4d29c31-c6ad-4ed5-ae27-aeee6680969c,Mossâmedes,0.7708
https://guara.ueg.br/fuseki/festas_populares#9fc99cd1-ef40-4b66-b656-69b0fcbc17fe,Lagolândia,https://guara.ueg.br/fuseki/festas_populares#d9d2d805-c16c-4b6f-9218-8363c40778c7,Cavalcante,0.8099
https://guara.ueg.br/fuseki/festas_populares#9fc99cd1-ef40-4b66-b656-69b0fcbc17fe,Lagolândia,https://guara.ueg.br/fuseki/festas_populares#e9bc2e1e-c24c-4fee-ad94-65d826509658,Cidade de Goiás (Vila Boa),0.7896
https://guara.ueg.br/fuseki/festas_populares#9fc99cd1-ef40-4b66-b656-69b0fcbc17fe,Lagolândia,https://guara.ueg.br/fuseki/festas_populares#25dbd5e5-974b-44ad-be66-c59401960e22,Monte Alegre de Goiás,0.7756
https://guara.ueg.br/fuseki/festas_populares#5011b203-5afa-4706-8ed3-60706312aa8c,Folia de São João,https://guara.ueg.br/fuseki/festas_populares#ba790709-2194-448a-81b3-6f776abf5923,"ENTRE GIROS, ESMOLAS E DONZELAS: UMA PRÁTICA PERFORMÁTICA DE MULHERES NA FOLIA DE SÃO JOÃO EM LAGOLÂNDIA",0.947
https://guara.ueg.br/fuseki/festas_populares#5011b203-5afa-4706-8ed3-60706312aa8c,Folia de São João,https://guara.ueg.br/fuseki/festas_populares#a4e249f5-6666-4d4e-933e-7989aff200d0,Congo vilaboense,0.9251
https://guara.ueg.br/fuseki/festas_populares#5011b203-5afa-4706-8ed3-60706312aa8c,Folia de São João,https://guara.ueg.br/fuseki/festas_populares#46be0d69-291a-4019-87df-c6663c2eb958,CONGADA DE CATALÃO (GO): O SINCRETISMO DA FESTA POPULAR NA PERSPECTIVA DOS DEVOTOS,0.7648
