dimensao,propriedade_sugerida,objeto_uri,titulo,similaridade
Evento,:oque,https://guara.ueg.br/fuseki/festas_populares#3f443329-6664-48f8-b99f-a241a1ab7e93,Folia de Reis - Comunidade Marcelânia,0.4736
Evento,:oque,https://guara.ueg.br/fuseki/festas_populares#89632966-e386-4feb-a259-2bdcd321d2bc,Festa Estadual da Guariroba de Aurilândia,0.4284
Evento,:oque,https://guara.ueg.br/fuseki/festas_populares#7eb03a5e-7efa-43ff-999f-c9540debc287,Folias de Reis de Itaguari,0.4156
Lugar,:onde,https://guara.ueg.br/fuseki/festas_populares#9fc99cd1-ef40-4b66-b656-69b0fcbc17fe,Lagolândia,0.5483
Lugar,:onde,https://guara.ueg.br/fuseki/festas_populares#4644b627-72ec-4583-a5c9-15951c3641e8,Aurilândia,0.4114
Lugar,:onde,https://guara.ueg.br/fuseki/festas_populares#e712b31c-0c74-46cc-a560-77414c3a2052,"povoado de areias, goiás",0.4019
Pessoa,:quem,https://guara.ueg.br/fuseki/festas_populares#9314e235-efc9-4e0a-9d7e-c646c9619468,Benetida Gomes Cipriano,0.5053
Pessoa,:quem,https://guara.ueg.br/fuseki/festas_populares#d73ba2aa-948f-42b7-bfa4-b61828e373cb,Adrielly Santos Ribeiro,0.436
Pessoa,:quem,https://guara.ueg.br/fuseki/festas_populares#b7946961-2a3a-4077-9c71-8d8486ea04af,Magno Florentino Dutra,0.4022
Tempo,:quando,https://guara.ueg.br/fuseki/festas_populares#91e241cf-952b-4109-80ac-af2adaeb6961,Útima sexta-feira do mês,0.2222
Tempo,:quando,https://guara.ueg.br/fuseki/festas_populares#3f065772-35b1-4692-8ede-ee0795934c15,Setembro,0.2132
Tempo,:quando,https://guara.ueg.br/fuseki/festas_populares#e46bcf8a-0a05-47c9-a7dc-48be926ba07a,Maio,0.1926
